rcp,period,change,n_min,n_m,n_max,n_sd,per_min,per_m,per_max
rcp26,ear,gain,68,74,87,11,20,22,25
rcp26,ear,lost,27,49,71,22,8,15,21
rcp26,ear,same,205,220,248,25,60,64,72
rcp26,mid,gain,105,116,129,12,31,34,38
rcp26,mid,lost,44,69,91,24,13,20,27
rcp26,mid,same,143,158,187,25,42,46,54
rcp85,ear,gain,71,77,85,7,21,23,25
rcp85,ear,lost,28,51,76,24,8,15,22
rcp85,ear,same,197,214,241,24,57,62,70
rcp85,mid,gain,125,129,133,4,37,38,40
rcp85,mid,lost,61,81,103,21,18,24,30
rcp85,mid,same,114,130,153,20,33,38,44
